Year,Movie Title,Actors,Gender,Race
1982,E.T. the Extra-Terrestrial, Peter Coyote,Male,White
1982,E.T. the Extra-Terrestrial, Robert MacNaughton,Male,White
1983,Return of the Jedi,Mark Hamill,Male,White
1983,Return of the Jedi, Harrison Ford,Male,White
1983,Return of the Jedi, Carrie Fisher,Female,White
1983,Return of the Jedi, Billy Dee Williams,Male,Not White
1984,Indiana Jones and the Temple of Doom,Harrison Ford,Male,White
1984,Indiana Jones and the Temple of Doom, Kate Capshaw,Female,White
1984,Indiana Jones and the Temple of Doom, Ke Huy Quan,Male,Not White
1984,Indiana Jones and the Temple of Doom, Amrish Puri,Male,Not White
1985,Back to the Future,Michael J. Fox,Male,White
1985,Back to the Future, Christopher Lloyd,Male,White
1985,Back to the Future, Lea Thompson,Female,White
1985,Back to the Future, Crispin Glover,Male,White
1986,Top Gun,Tom Cruise,Male,White
1986,Top Gun, Kelly McGillis,Female,White
1986,Top Gun, Val Kilmer,Male,White
1986,Top Gun, Anthony Edwards,Male,White
1987,Fatal Attraction,Michael Douglas,Male,White
1987,Fatal Attraction, Glenn Close,Female,White
1987,Fatal Attraction, Anne Archer,Female,White
1987,Fatal Attraction, Ellen Latzen,Female,White
1988,Rain Man,Dustin Hoffman,Male,White
1988,Rain Man, Tom Cruise,Male,White
1988,Rain Man, Valeria Golino,Female,White
1988,Rain Man, Gerald R. Molen,Male,White
1989,Indiana Jones and the Last Crusade,Harrison Ford,Male,White
1989,Indiana Jones and the Last Crusade, Sean Connery,Male,White
1989,Indiana Jones and the Last Crusade, Denholm Elliott,Male,White
1989,Indiana Jones and the Last Crusade, Alison Doody,Female,White
1990,Ghost,Patrick Swayze,Male,White
1990,Ghost, Demi Moore,Female,White
1990,Ghost, Tony Goldwyn,Male,White
1990,Ghost, Stanley Lawrence,Male,White
1991,Terminator 2: Judgment Day,Arnold Schwarzenegger,Male,White
1991,Terminator 2: Judgment Day, Linda Hamilton,Female,White
1991,Terminator 2: Judgment Day, Edward Furlong,Male,White
1991,Terminator 2: Judgment Day, Robert Patrick,Male,White
1992,Aladdin,Scott Weinger,Male,White
1992,Aladdin, Robin Williams,Male,White
1992,Aladdin, Linda Larkin,Female,White
1992,Aladdin, Jonathan Freeman,Male,White
1993,Jurassic Park,Sam Neill,Male,White
1993,Jurassic Park, Laura Dern,Female,White
1993,Jurassic Park, Jeff Goldblum,Male,White
1993,Jurassic Park, Richard Attenborough,Male,White
1994,The Lion King,Rowan Atkinson,Male,White
1994,The Lion King, Matthew Broderick,Male,White
1994,The Lion King, Niketa Calame-Harris,Female,Not White
1994,The Lion King, Jim Cummings,Male,White
1995,Toy Story,Tom Hanks,Male,White
1995,Toy Story, Tim Allen,Male,White
1995,Toy Story, Don Rickles,Male,White
1995,Toy Story, Jim Varney,Male,White
1996,Independence Day,Will Smith,Male,Not White
1996,Independence Day, Bill Pullman,Male,White
1996,Independence Day, Jeff Goldblum,Male,White
1996,Independence Day, Mary McDonnell,Female,White
1997,Titanic,Leonardo DiCaprio,Male,White
1997,Titanic, Kate Winslet,Female,White
1997,Titanic, Billy Zane,Male,White
1997,Titanic, Kathy Bates,Female,White
1998,Armageddon,Bruce Willis,Male,White
1998,Armageddon, Billy Bob Thornton,Male,White
1998,Armageddon, Ben Affleck,Male,White
1998,Armageddon, Liv Tyler,Female,White
1999,Star Wars: Episode I - The Phantom Menace,Liam Neeson,Male,White
1999,Star Wars: Episode I - The Phantom Menace, Ewan McGregor,Male,White
1999,Star Wars: Episode I - The Phantom Menace, Natalie Portman,Female,White
1999,Star Wars: Episode I - The Phantom Menace, Jake Lloyd,Male,White
2000,Mission: Impossible II,Tom Cruise,Male,White
2000,Mission: Impossible II, Dougray Scott,Male,White
2000,Mission: Impossible II, Thandie Newton,Female,Not White
2000,Mission: Impossible II, Ving Rhames,Male,Not White
2001,Harry Potter and the Sorcerer's Stone,Daniel Radcliffe,Male,White
2001,Harry Potter and the Sorcerer's Stone,Rupert Grint,Male,White
2001,Harry Potter and the Sorcerer's Stone,Emma Watson,Female,White
2001,Harry Potter and the Sorcerer's Stone,Richard Harris,Male,White
2002,The Lord of the Rings: The Two Towers,Bruce Allpress,Male,White
2002,The Lord of the Rings: The Two Towers, Sean Astin,Male,White
2002,The Lord of the Rings: The Two Towers, John Bach,Male,White
