Year,Movie Title,Actor,Gender,Race
1972,The Godfather, Richard S. Castellano,Male,White
1973,The Sting,Paul Newman,Male,White
1973,The Sting, Robert Redford,Male,White
1973,The Sting, Robert Shaw,Male,White
1973,The Sting, Charles Durning,Male,White
1974,The Godfather Part II,Al Pacino,Male,White
1974,The Godfather Part II, Robert Duvall,Male,White
1974,The Godfather Part II, Diane Keaton,Female,White
1974,The Godfather Part II, Robert De Niro,Male,White
1975,One Flew over the Cuckoo's Nest,Jack Nicholson,Male,White
1975,One Flew over the Cuckoo's Nest, Louise Fletcher,Female,White
1975,One Flew over the Cuckoo's Nest, Will Sampson,Male,White
1975,One Flew over the Cuckoo's Nest, Michael Berryman,Male,White
1976,Rocky,Sylvester Stallone,Male,White
1976,Rocky, Talia Shire,Female,White
1976,Rocky, Burt Young,Male,White
1976,Rocky, Carl Weathers,Male,White
1977,Annie Hall,Woody Allen,Male,White
1977,Annie Hall, Diane Keaton,Female,White
1977,Annie Hall, Tony Roberts,Male,White
1977,Annie Hall, Carol Kane,Female,White
1978,The Deer Hunter,Robert De Niro,Male,White
1978,The Deer Hunter, John Cazale,Male,White
1978,The Deer Hunter, John Savage,Male,White
1978,The Deer Hunter, Christopher Walken,Male,White
1979,Kramer vs. Kramer,Dustin Hoffman,Male,White
1979,Kramer vs. Kramer, Meryl Streep,Female,White
1979,Kramer vs. Kramer, Jane Alexander,Female,White
1979,Kramer vs. Kramer, Justin Henry,Male,White
1980,Ordinary People,Donald Sutherland,Male,White
1980,Ordinary People, Mary Tyler Moore,Female,White
1980,Ordinary People, Judd Hirsch,Male,White
1980,Ordinary People, Timothy Hutton,Male,White
1981,Chariots of Fire,Nicholas Farrell,Male,White
1981,Chariots of Fire, Nigel Havers,Male,White
1981,Chariots of Fire, Ian Charleson,Male,White
1981,Chariots of Fire, Ben Cross,Male,White
1982,Gandhi,Ben Kingsley,Male,Not White
1982,Gandhi, Rohini Hattangadi,Female,Not White
1982,Gandhi, Roshan Seth,Male,Not White
1982,Gandhi, Candice Bergen,Female,White
