year,category,winner,entity
1931,OUTSTANDING PRODUCTION,No,The Champ
1931,OUTSTANDING PRODUCTION,No,Five Star Final
1931,OUTSTANDING PRODUCTION,Yes,Grand Hotel
1931,OUTSTANDING PRODUCTION,No,One Hour with You
1931,OUTSTANDING PRODUCTION,No,Shanghai Express
1931,OUTSTANDING PRODUCTION,No,The Smiling Lieutenant
1931,SHORT SUBJECT (Cartoon),Yes,Flowers and Trees
1931,SHORT SUBJECT (Cartoon),No,It's Got Me Again
1931,SHORT SUBJECT (Cartoon),No,Mickey's Orphans
1931,SHORT SUBJECT (Comedy),No,The Loud Mouth
1931,SHORT SUBJECT (Comedy),Yes,The Music Box
1931,SHORT SUBJECT (Comedy),No,Scratch-As-Catch-Can
1931,SHORT SUBJECT (Comedy),No,Stout Hearts and Willing Hands
1931,SHORT SUBJECT (Novelty),No,Screen Souvenirs
1931,SHORT SUBJECT (Novelty),No,Swing High
1931,SHORT SUBJECT (Novelty),Yes,Wrestling Swordfish
1931,SOUND RECORDING,No,Metro-Goldwyn-Mayer Studio Sound Department
1931,SOUND RECORDING,Yes,Paramount Publix Studio Sound Department
1931,SOUND RECORDING,No,RKO Radio Studio Sound Department
1931,SOUND RECORDING,No,Warner Bros.-First National Studio Sound Department
1931,WRITING (Adaptation),No,Arrowsmith
1931,WRITING (Adaptation),Yes,Bad Girl
1931,WRITING (Adaptation),No,Dr. Jekyll and Mr. Hyde
1931,WRITING (Original Story),Yes,The Champ
1931,WRITING (Original Story),No,Lady and Gent
1931,WRITING (Original Story),No,The Star Witness
1931,WRITING (Original Story),No,What Price Hollywood?
1931,SPECIAL AWARD,Yes,"To Walt Disney for the creation of ""Mickey Mouse."""
1931,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.
1931,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.
1932,ACTOR,No,Leslie Howard
1932,ACTOR,Yes,Charles Laughton
1932,ACTOR,No,Paul Muni
1932,ACTRESS,Yes,Katharine Hepburn
1932,ACTRESS,No,May Robson
1932,ACTRESS,No,Diana Wynyard
1932,ART DIRECTION,Yes,Cavalcade
1932,ART DIRECTION,No,A Farewell to Arms
1932,ART DIRECTION,No,When Ladies Meet
1932,ASSISTANT DIRECTOR,No,Percy Ikerd (Fox)
1932,ASSISTANT DIRECTOR,Yes,William Tummel (Fox)
1932,ASSISTANT DIRECTOR,Yes,Charles Dorian (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,No,Bunny Dull (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,No,John S. Waters (Metro-Goldwyn-Mayer)
1932,ASSISTANT DIRECTOR,Yes,Charles Barton (Paramount)
1932,ASSISTANT DIRECTOR,No,Sidney S. Brod (Paramount)
1932,ASSISTANT DIRECTOR,No,Arthur Jacobson (Paramount)
1932,ASSISTANT DIRECTOR,No,Eddie Killey (RKO Radio)
1932,ASSISTANT DIRECTOR,Yes,Dewey Starkey (RKO Radio)
1932,ASSISTANT DIRECTOR,Yes,Fred Fox (United Artists)
1932,ASSISTANT DIRECTOR,No,Benjamin Silvey (United Artists)
1932,ASSISTANT DIRECTOR,Yes,Scott Beal (Universal)
1932,ASSISTANT DIRECTOR,No,Joe McDonough (Universal)
1932,ASSISTANT DIRECTOR,No,W. J. Reiter (Universal)
1932,ASSISTANT DIRECTOR,No,Al Alborn (Warner Bros.)
1932,ASSISTANT DIRECTOR,Yes,Gordon Hollingshead (Warner Bros.)
1932,ASSISTANT DIRECTOR,No,Frank X. Shaw (Warner Bros.)
1932,CINEMATOGRAPHY,Yes,A Farewell to Arms
1932,CINEMATOGRAPHY,No,Reunion in Vienna
1932,CINEMATOGRAPHY,No,The Sign of the Cross
1932,DIRECTING,Yes,Cavalcade
1932,DIRECTING,No,Lady for a Day
1932,DIRECTING,No,Little Women
1932,OUTSTANDING PRODUCTION,Yes,Cavalcade
1932,OUTSTANDING PRODUCTION,No,A Farewell to Arms
1932,OUTSTANDING PRODUCTION,No,42nd Street
1932,OUTSTANDING PRODUCTION,No,I Am a Fugitive from a Chain Gang
1932,OUTSTANDING PRODUCTION,No,Lady for a Day
1932,OUTSTANDING PRODUCTION,No,Little Women
1932,OUTSTANDING PRODUCTION,No,The Private Life of Henry VIII
1932,OUTSTANDING PRODUCTION,No,She Done Him Wrong
1932,OUTSTANDING PRODUCTION,No,Smilin' Through
1932,OUTSTANDING PRODUCTION,No,State Fair
1932,SHORT SUBJECT (Cartoon),No,Building a Building
1932,SHORT SUBJECT (Cartoon),No,The Merry Old Soul
1932,SHORT SUBJECT (Cartoon),Yes,The Three Little Pigs
1932,SHORT SUBJECT (Comedy),No,Mister Mugg
1932,SHORT SUBJECT (Comedy),No,A Preferred List
1932,SHORT SUBJECT (Comedy),Yes,So This Is Harris
1932,SHORT SUBJECT (Novelty),Yes,Krakatoa
1932,SHORT SUBJECT (Novelty),No,Menu
1932,SHORT SUBJECT (Novelty),No,The Sea
1932,SOUND RECORDING,Yes,A Farewell to Arms
1932,SOUND RECORDING,No,42nd Street
1932,SOUND RECORDING,No,Gold Diggers of 1933
1932,SOUND RECORDING,No,I Am a Fugitive from a Chain Gang
1932,WRITING (Adaptation),No,Lady for a Day
1932,WRITING (Adaptation),Yes,Little Women
1932,WRITING (Adaptation),No,State Fair
1932,WRITING (Original Story),Yes,One Way Passage
1932,WRITING (Original Story),No,The Prizefighter and the Lady
1932,WRITING (Original Story),No,Rasputin and the Empress
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,"To ELECTRICAL RESEARCH PRODUCTS, INC. for their wide range recording and reporducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class II),Yes,"To RCA-VICTOR COMPANY, INC. for their high-fidelity recording and reproducing system."
1932,SCIENTIFIC OR TECHNICAL AWARD (Class III),Yes,"To FOX FILM CORPORATION, FRED JACKMAN and WARNER BROS. PICTURES, INC., and SIDNEY SANDERS of RKO Studios, Inc., for their development and effective use of the translucent cellulose screen in composite photography."
1933,OUTSTANDING PRODUCTION,Yes,Cavalcade
1934,ACTOR,Yes,Clark Gable
1934,ACTOR,No,Frank Morgan
1934,ACTOR,No,William Powell
1934,ACTRESS,Yes,Claudette Colbert
1934,ACTRESS,No,Bette Davis
1934,ACTRESS,No,Grace Moore
1934,ACTRESS,No,Norma Shearer
1934,ART DIRECTION,No,The Affairs of Cellini
1934,ART DIRECTION,No,The Gay Divorcee
1934,ART DIRECTION,Yes,The Merry Widow
