Award,Year,Movie Title,Movie Genre,Runtime,Actors,IMDB Rating,Rotten Tomatoes Rating
OUTSTANDING PRODUCTION,1940,Rebecca,"Drama, Mystery, Romance, Thriller",130 min,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson",8.1/10,100%
OUTSTANDING MOTION PICTURE,1941,How Green Was My Valley,"Drama, Family",118 min,"Walter Pidgeon, Maureen O'Hara, Anna Lee, Donald Crisp",7.7/10,91%
OUTSTANDING MOTION PICTURE,1942,Mrs. Miniver,"Drama, Romance, War",134 min,"Greer Garson, Walter Pidgeon, Teresa Wright, May Whitty",7.6/10,93%
OUTSTANDING MOTION PICTURE,1943,Casablanca,"Drama, Romance, War",102 min,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",8.5/10,99%
BEST MOTION PICTURE,1944,Going My Way,"Comedy, Drama, Music",126 min,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown",7.0/10,83%
BEST MOTION PICTURE,1945,The Lost Weekend,"Drama, Film-Noir",101 min,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",7.9/10,100%
BEST MOTION PICTURE,1946,The Best Years of Our Lives,"Drama, Romance, War",170 min,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright",8.0/10,96%
BEST MOTION PICTURE,1947,Gentleman's Agreement,"Drama, Romance",118 min,"Gregory Peck, Dorothy McGuire, John Garfield, Celeste Holm",7.2/10,74%
BEST MOTION PICTURE,1948,Hamlet,Drama,242 min,"Riz Abbasi, Richard Attenborough, David Blair, Brian Blessed",7.7/10,95%
BEST MOTION PICTURE,1949,All the King's Men,"Drama, Thriller",128 min,"Sean Penn, Jude Law, Anthony Hopkins, Kate Winslet",6.2/10,37/100
BEST MOTION PICTURE,1950,All about Eve,Drama,138 min,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",8.2/10,99%
BEST MOTION PICTURE,1951,An American in Paris,"Drama, Musical, Romance",114 min,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary",7.2/10,96%
BEST MOTION PICTURE,1952,The Greatest Show on Earth,"Drama, Family, Romance",152 min,"Betty Hutton, Cornel Wilde, Charlton Heston, Dorothy Lamour",6.6/10,43%
BEST MOTION PICTURE,1953,From Here to Eternity,"Drama, Romance, War",118 min,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed",7.6/10,92%
BEST MOTION PICTURE,1954,On the Waterfront,"Crime, Drama, Thriller",108 min,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",8.1/10,99%
BEST MOTION PICTURE,1955,Marty,"Drama, Romance",90 min,"Ernest Borgnine, Betsy Blair, Esther Minciotti, Augusta Ciolli",7.7/10,100%
BEST MOTION PICTURE,1956,Around the World in 80 Days,"Action, Adventure, Comedy, Family, Western",120 min,"Jackie Chan, Steve Coogan, Cécile de France, Robert Fyfe",5.9/10,32%
BEST MOTION PICTURE,1957,The Bridge on the River Kwai,"Adventure, Drama, War",161 min,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa",8.1/10,95%
BEST MOTION PICTURE,1958,Gigi,"Comedy, Musical, Romance",115 min,"Leslie Caron, Maurice Chevalier, Louis Jourdan, Hermione Gingold",6.7/10,80%
BEST MOTION PICTURE,1959,Ben-Hur,"Adventure, Drama, History",212 min,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",8.1/10,86%
BEST MOTION PICTURE,1960,The Apartment,"Comedy, Drama, Romance",125 min,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",8.3/10,93%
BEST MOTION PICTURE,1961,West Side Story,"Crime, Drama, Musical, Romance",153 min,"Natalie Wood, Richard Beymer, Russ Tamblyn, Rita Moreno",7.5/10,92%
BEST PICTURE,1962,Lawrence of Arabia,"Adventure, Biography, Drama, History, War",228 min,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",8.3/10,98%
BEST PICTURE,1963,Tom Jones,"Adventure, Comedy, History",129 min,"George Devine, Rachel Kempson, Angela Baddeley, Joyce Redman",6.5/10,86%
BEST PICTURE,1964,My Fair Lady,"Drama, Family, Musical, Romance",170 min,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White",7.8/10,95%
BEST PICTURE,1965,The Sound of Music,"Biography, Drama, Family, Musical, Romance",172 min,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",8.0/10,83%
BEST PICTURE,1966,A Man for All Seasons,"Biography, Drama, History",120 min,"Paul Scofield, Wendy Hiller, Leo McKern, Robert Shaw",7.7/10,83%
BEST PICTURE,1967,In the Heat of the Night,"Crime, Drama, Mystery, Thriller",110 min,"Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant",7.9/10,94%
BEST PICTURE,1968,Oliver!,"Drama, Family, Musical",153 min,"Ron Moody, Shani Wallis, Oliver Reed, Harry Secombe",7.4/10,82%
BEST PICTURE,1969,Midnight Cowboy,Drama,113 min,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver",7.8/10,89%
BEST PICTURE,1970,Patton,"Biography, Drama, War",172 min,"George C. Scott, Karl Malden, Stephen Young, Michael Strong",7.9/10,94%
BEST PICTURE,1971,The French Connection,"Action, Crime, Drama, Thriller",104 min,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco",7.7/10,98%
BEST PICTURE,1972,The Godfather,"Crime, Drama",175 min,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",9.2/10,98%
BEST PICTURE,1973,The Sting,"Comedy, Crime, Drama",129 min,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",8.3/10,94%
